Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation,Choice E,Choice F
"Two perpendicular forces produce equal torques on a door. One is applied at the midpoint, the other at the doorknob. Which force is greater?",The first force (at the midpoint),The second force (at the doorknob),The two forces are equal,,A,"τ = F·r. For equal torques, the shorter lever arm (midpoint) must have a greater force than the longer one (doorknob).",,
A boy and a girl of equal mass are on a merry-go-round. The boy is twice as far from the center as the girl. What is true about his moment of inertia?,His moment of inertia is 4 times the girl's.,His moment of inertia is twice the girl's.,The moment of inertia is the same for both.,"The boy has a greater moment of inertia, but it is impossible to say exactly how much more.",A,Moment of inertia I = m·r². With equal mass and the boy twice as far: I_boy = m·(2r)² = 4·m·r² = 4·I_girl.,"The boy has a smaller moment of inertia, but it is impossible to say exactly how much smaller.",
Two solid spheres of equal diameter have masses m and 2m. What is the ratio of the larger moment of inertia to the smaller one?,10,12,6,2,D,"Moment of inertia for a solid sphere: I = (2/5)·m·r². Since r is the same, I ∝ m. Doubling mass doubles moment of inertia → ratio = 2.",8,4
"A solid sphere has mass M and radius R. If mass becomes 2M and radius becomes 3R, by what factor does the moment of inertia increase?",Increases by a factor of 6,Increases by a factor of 12,Increases by a factor of 5,Increases by a factor of 54,E,I = (2/5)·M·R². New I = (2/5)·2M·(3R)² = (2/5)·2M·9R² = 18·I. So the moment of inertia increases by a factor of 18.,Increases by a factor of 18,
"If a net torque is applied to an object, what will it experience?",Constant angular speed,Angular acceleration,Decreasing moment of inertia,Increasing moment of inertia,B,Net torque causes angular acceleration according to τ = I·α. Constant angular speed only happens with zero net torque.,,
"According to Newton’s 2nd law for rotation, angular acceleration is directly proportional to what?",Its moment of inertia,The net torque applied,The object's size,Both a and b are valid,B,"From τ = I·α → α = τ / I. Angular acceleration is directly proportional to torque and inversely proportional to moment of inertia, not directly proportional to I.",,
A pulley has radius 0.10 m and moment of inertia 0.015 kg·m². A string pulls it with 12 N. What is the angular acceleration?,18 rad/s²,0.13 rad/s²,80 rad/s²,0.055 rad/s²,C,Torque τ = r·F = 0.10·12 = 1.2 N·m. Angular acceleration α = τ/I = 1.2 / 0.015 = 80 rad/s².,,
A 3.0 kg disk with radius 0.5 m and I = ½·m·r² is pulled with 2 N at the edge. What is the angular speed after 1.0 s from rest?,0 rad/s,1 rad/s,4 rad/s,It cannot be determined without knowing the rotational inertia.,C,τ = r·F = 0.5·2 = 1 N·m. I = ½·3·(0.5)² = 0.375. α = τ/I = 1 / 0.375 = 2.67 rad/s². ω = α·t = 2.67·1 = 2.67 rad/s ≈ 3 rad/s. Closest match is 4 rad/s.,,
A pulley of radius R and moment of inertia I is lifted by a motor applying torque τ. A mass m hangs on a string wrapped around the pulley. What equation describes the angular acceleration α?,τ − m·(αR − g)·R = I·α,τ − m·(αR + g)·R = I·α,τ − m·α·R² = I·α,τ + m·α·R² = I·α,A,"The tension is T = m(g − a), and a = αR, so T = m(g − αR). The torque from tension is T·R = m(g − αR)·R. Net torque: τ − m(αR − g)R = I·α.",,
"A meter stick balances at 50.0 cm. A 50.0 g mass is placed at 90.0 cm, and the stick now balances at 61.3 cm. What is the mass of the meter stick?",127 g,178 g,89.7 g,32.6 g,A,Let M = stick mass. Torque from 50 g mass: 50·28.7 = 1435. Torque from stick: M·11.3. Set 1435 = M·11.3 → M ≈ 127 g.,73.4 g,
An 82-kg painter stands 1.55 m from one end of a 5.5 m uniform 27-kg board supported at both ends. What force does the nearer post exert upward?,620 N,850 N,930 N,960 N,D,Take torques about the far support: τ = R₁·5.5 − 82·9.8·3.95 − 27·9.8·2.75 = 0. Solve → R₁ ≈ 709 N.,,
An object starts from rest with constant angular acceleration α. In time t it rotates through angle θ. How far does it rotate in time t/3?,θ⁄2,θ⁄3,θ⁄6,θ,E,Using θ = ½·α·t². Substituting t/3 → θ′ = ½·α·(t/3)² = ½·α·t²/9 = θ/9.,θ⁄9,
A wheel (I = 2.0 kg·m²) spins at 3 rad/s and slows to a stop in 6.0 s. What is the net torque exerted on it?,0.17 N·m,0.5 N·m,1.0 N·m,2.0 N·m,C,Angular acceleration α = (0 − 3)/6 = −0.5 rad/s². Torque τ = I·α = 2.0·(−0.5) = −1.0 N·m → magnitude is 1.0 N·m.,,
A disk with rotational inertia I₍D₎ spins at angular speed ω₍D₎ and slows to rest due to friction. What tool could estimate its initial angular speed?,A motion sensor for the disk’s linear position vs. time,A motion sensor for the disk’s angular position vs. time,A slow-motion camera for one revolution time at the start,A stopwatch to time total revolutions until rest,D,"If friction is constant, the total angle rotated and time to stop allows estimation of average angular velocity and thus ω₍₀₎.",,
A student pulls a string to spin a wheel of known I. They measure tension and time. Can they find the wheel's angular momentum without measuring ω?,Yes. The student has sufficient information already.,Yes. The student also needs the radius to compute torque.,No. Angular momentum requires ω and I.,"No. Radius only helps with torque, not angular momentum.",B,"To find angular momentum L = I·ω, and angular impulse τ·t = ΔL. The student needs torque τ = r·T, so they must also know the radius.",,
Which procedure best determines how applied torque affects the angular momentum change of a frictionless disk?,"Apply 15 N for 2 s and then 25 N for 3 s, measuring final ω","Hold 15 N force for 5 different time intervals, measuring angular displacement","Hold 15 N force for 5 different time intervals, measuring final ω","Use 5 different forces for 5 s each, measuring final ω",D,"To test ΔL = τ·Δt, keep Δt constant and vary τ. Measure final ω to calculate angular momentum L = I·ω.",,
"Two pulleys X and Y experience the same linear acceleration a. If Pulley Y has a larger radius than Pulley X, how do their angular accelerations compare?",α₍X₎ > α₍Y₎,α₍X₎ < α₍Y₎,α₍X₎ = α₍Y₎,Cannot be determined without knowing block masses,A,"Using α = a / r, the pulley with the smaller radius will have the greater angular acceleration if both experience the same linear acceleration.",,
A ball of radius R rolls without slipping and reaches speed v₍f₎ in time t. What is its angular acceleration as it rolls?,g,g⁄R,v₍f₎⁄t,v₍f₎⁄(t·R),D,Use v₍f₎ = ω₍f₎·R and α = Δω / t → α = (v₍f₎ / R) / t = v₍f₎ / (t·R).,,
A disk starts from rest and rotates with constant α. At time t₁ it has rotated through θ₁. What is the linear speed of a point at distance x?,θ₁⁄t₁,x·θ₁⁄t₁,2·θ₁⁄t₁,2·x·θ₁⁄t₁,D,θ₁ = ½·α·t₁² → α = 2·θ₁ / t₁². Then ω = α·t₁ = 2·θ₁ / t₁. Linear speed v = x·ω = x·(2·θ₁ / t₁) = 2·x·θ₁ / t₁.,,
"A string is pulled at speed v to spin a disk with angular speed ω via axle of radius r. If r increases, what pull speed gives the same ω?",Less than v,Equal to v,Greater than v,Cannot be determined without relative radii,A,"Since v = r·ω, for a larger r to maintain the same ω, the linear speed v must decrease.",,
"On a spinning disk with increasing angular speed, point Y is farther from the center than point X. How do ω and v compare for the two points?",ω₍X₎ = ω₍Y₎; v₍X₎ = v₍Y₎,ω₍X₎ = ω₍Y₎; v₍X₎ < v₍Y₎,ω₍X₎ < ω₍Y₎; v₍X₎ = v₍Y₎,ω₍X₎ < ω₍Y₎; v₍X₎ < v₍Y₎,B,"All points on a rigid disk share the same angular speed. Linear speed increases with radius, so the farther point Y has a greater linear speed: v₍Y₎ > v₍X₎.",,
A disk and a hoop of equal mass and radius roll down an incline from rest. How do their angular accelerations and linear speeds compare at the bottom?,"α₍disk₎ > α₍hoop₎, v₍disk₎ < v₍hoop₎","α₍disk₎ < α₍hoop₎, v₍disk₎ < v₍hoop₎","α₍disk₎ > α₍hoop₎, v₍disk₎ > v₍hoop₎","α₍disk₎ < α₍hoop₎, v₍disk₎ > v₍hoop₎",C,Lower I of the disk means less rotational resistance → greater α and more energy in translation → so v₍disk₎ > v₍hoop₎ and α₍disk₎ > α₍hoop₎.,,
"A student pushes with 200 N on a classroom door. If friction can resist up to 100 N·m of torque, what is the max distance they can push without the door moving?",0.005 m,0.01 m,0.5 m,2.0 m,C,Use τ = r·F. Rearranged: r = τ / F = 100 / 200 = 0.5 m.,,
Which of the following claims about the rotational inertia of a rigid object is true?,Moving the axis from the center of mass to a parallel axis always increases the rotational inertia.,Rotational inertia only increases if the mass is symmetrically distributed about the center of mass.,Moving the axis from the center of mass always decreases the rotational inertia.,Rotational inertia only decreases if the mass is symmetric about the center of mass.,A,"The parallel axis theorem shows I = I₍cm₎ + M·d². The second term is always positive, so moving the axis increases rotational inertia.",,
A wheel of radius R starts from rest and a point on the rim moves distance s in time t. What is the angular acceleration α?,R / (s·t²),2·R·s / t²,s / (2·R·t²),2·s / (R·t²),D,"s = r·θ, and θ = ½·α·t² → s = ½·r·α·t² → α = 2s / (r·t²).",,
Two spheres come to rest after rotating through the same angle. Sphere 2 has twice the angular acceleration as Sphere 1. What is ω₂ compared to ω₁?,ω₂ = ω₁⁄2,ω₂ = ω₁⁄√2,ω₂ = √2·ω₁,ω₂ = 2·ω₁,C,"Use ω² = 2·α·θ. If α₂ = 2·α₀, then ω₂² = 4·α₀·θ₁. Since ω₁² = 2·α₀·θ₁ → ω₂² = 2·ω₁² → ω₂ = √2·ω₁.",,
A disk starts from rest and accelerates at constant α. What is the angular speed after one full revolution?,2πα,4πα,√2πα,√4πα,D,Use ω² = 2·α·θ with θ = 2π for one revolution. So ω² = 4πα → ω = √(4πα).,,
A disk starts from rest and reaches ω₍f₎ at time t₍f₎. What is the ratio of angular displacement θ₍f₎ to θ₍1/2₎ at t₍f₎⁄2?,θ₍f₎ = θ₍1/2₎⁄4,θ₍f₎ = θ₍1/2₎,θ₍f₎ = 2·θ₍1/2₎,θ₍f₎ = 4·θ₍1/2₎,D,"Since θ = ½·α·t², θ₍f₎ = ½·α·t₍f₎² and θ₍1/2₎ = ½·α·(t₍f₎/2)² = ½·α·t₍f₎²/4. So θ₍f₎ = 4·θ₍1/2₎.",,
A disk spins counterclockwise and slows due to clockwise angular acceleration. Why does its angular displacement continue increasing counterclockwise?,Angular displacement is always opposite angular acceleration.,Angular displacement is independent of angular acceleration.,The angular velocity was still counterclockwise.,The angular acceleration was less than angular velocity.,C,"Even with clockwise angular acceleration, the disk still had counterclockwise angular velocity, so displacement continued in that direction.",,
A wheel speeds up from ωᵢ to ω𝒇 with angular acceleration α. How many full revolutions does it make?,(ω𝒇 − ωᵢ)/(2·π·α),(ω𝒇 − ωᵢ)/α,(ω𝒇² − ωᵢ²)/(4·π·α),(ω𝒇² − ωᵢ²)/(2·α),C,Angular displacement in radians: θ = (ω𝒇² − ωᵢ²)/(2·α). Convert to revolutions: θ/2π → (ω𝒇² − ωᵢ²)/(4·π·α).,,
