Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
A meterstick is balanced with a 3 N weight at 20 cm. Where to place 2 N weight?,D,At 20 cm,False,PH193,At 30 cm,False,PH193,At 40 cm,False,PH193,At 70 cm to balance about center (50 cm),True,,3·30 = 2·x → x = 45 cm away from center → 50 + 20 = 70 cm
Which is true about objects in rotational equilibrium?,A,They can be rotating with constant angular velocity.,True,,They must be at rest.,False,PH191,Their mass is constant.,False,PH196,They have no forces.,False,PH192,∑τ = 0 does not require zero rotation— only zero angular acceleration
A seesaw balances a 20 kg child 2 m from pivot. Where should a 40 kg child sit?,C,2 m,False,PH192,4 m,False,PH193,1 m,True,,3 m,False,PH192,Balance torques: 20·2 = 40·x → x = 1 m
What must be true of torque to balance an asymmetric object?,D,It must cancel out gravity.,False,PH193,It must be equal on all sides.,False,PH193,It must be clockwise only.,False,PH192,Total clockwise torque = total counterclockwise torque,True,,Rotational equilibrium: ∑τ_cw = ∑τ_ccw
A student says balanced torques mean no motion. What’s wrong?,B,They're completely right.,False,PH190,Object may still rotate at constant rate.,True,,No forces act at all.,False,PH191,Mass cancels angular velocity.,False,PH196,∑τ = 0 → α = 0— but ω may ≠ 0
Which best explains balance in a mobile hanging system?,C,Equal masses always go together.,False,PH190,All strings must be same length.,False,PH193,Torque from each side must balance about each pivot point.,True,,The system must not rotate.,False,PH192,Balance at each pivot → sum of torques = 0 at each point
A bar is balanced when τ₁ = τ₂. What happens if τ₁ > τ₂?,A,The bar rotates toward τ₁ side.,True,,It remains balanced.,False,PH190,It moves left and right.,False,PH190,It falls straight down.,False,PH190,Unbalanced torque causes angular acceleration toward stronger side
Which equation must be satisfied for rotational equilibrium?,B,F₁·d₁ = F₂ / d₂,False,PH190,F₁·r₁ = F₂·r₂,True,,F₁ + F₂ = r₁ − r₂,False,PH192,F₁·F₂ = r₁ / r₂,False,PH192,τ = F·r → set left and right equal for balance
Which expression is the rotational analog of Newton’s second law?,C,F = I · α,False,PH197,F = m · a,False,PH197,τ = I · α,True,,τ = m · r,False,PH197,Just like F = m·a— the rotational form is τ = I·α
A wheel with I = 5 kg·m² is acted on by τ = 15 N·m. What is α?,A,α = τ / I = 15 / 5 = 3 rad/s²,True,,α = 75 rad/s²,False,PH197,α = 5 / 15,False,PH197,α = 15 × 5,False,PH197,Use τ = I · α → solve for α
An object spins from rest to ω = 10 rad/s in 5 s with constant torque. What is angular acceleration?,D,ω² / r,False,PH197,F / r²,False,PH198,α = ω / 2,False,PH198,α = ∆ω / ∆t = 10 / 5 = 2 rad/s²,True,,Change in ω over time gives α
If τ is constant and I triples— what happens to α?,B,It doubles.,False,PH198,It becomes one-third.,True,,It stays constant.,False,PH198,It triples.,False,PH198,α = τ / I → increase I— decrease α
A torque of 12 N·m produces α = 3 rad/s². What is I?,C,I = α / τ,False,PH197,I = τ · α,False,PH197,I = τ / α = 12 / 3 = 4 kg·m²,True,,I = τ² / α,False,PH197,Use τ = I·α → solve for I
Which situation best represents τ = I · α?,D,Block sliding on frictionless track.,False,PH199,Mass hanging from pulley without rotation.,False,PH199,Car accelerating linearly.,False,PH199,Disk accelerating under net torque about axis.,True,,τ = I·α only applies to rotational motion about axis
A disk is acted on by τ and experiences α. What is the effect of doubling τ?,A,α doubles.,True,,α halves.,False,PH198,α is constant.,False,PH198,α increases by 4.,False,PH198,Direct relationship: τ = I · α
A student says net torque causes angular velocity. What’s wrong?,C,Angular velocity is mass dependent.,False,PH200,Net torque affects kinetic energy only.,False,PH200,Torque causes angular acceleration— not velocity directly.,True,,Torque is not real.,False,PH200,Net torque → change in angular speed— not speed itself
Which variable must be constant for τ = I · α to apply directly?,D,Radius,False,PH197,Mass,False,PH198,Angular velocity,False,PH201,Moment of inertia (I),True,,Equation assumes I constant for rotating body
Which situation invalidates τ = I · α?,B,Object has fixed mass.,False,PH202,Moment of inertia changes during motion.,True,,Object rotates at constant α.,False,PH199,Force is applied off-center.,False,PH202,Equation applies only if I is constant → changing I requires more complex treatment
