Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
If 150 J of work increases a 3 kg object’s speed— what is final speed from rest?,D,v = 5 m/s,False,PH108,v = 100 m/s,False,PH108,v = √(150 / 3),False,PH108,v = 10 m/s,True,,W = ∆K = ½·m·v² → solve for v.
What is the work-energy theorem?,A,Net work equals change in kinetic energy.,True,,Work is always constant.,False,PH108,Work depends only on distance.,False,PH107,Kinetic energy is always conserved.,False,PH110,W = ∆K — connects dynamics and energy.
An object slows due to friction. What is the sign of net work?,B,Positive— because it’s moving.,False,PH108,Negative— because force opposes motion.,True,,Zero— because speed changes.,False,PH110,Undefined.,False,PH110,Opposing forces → W = F·d·cos(180°) = negative
If applied force is perpendicular to displacement— what is work done?,C,Maximum,False,PH106,Negative,False,PH106,Zero,True,,Infinite,False,PH107,cos(90°) = 0 → W = F·d·cos(θ) = 0
What is the gravitational potential energy of a mass m at height h above ground?,C,U = m / g,False,PH113,U = m · h,False,PH113,U = m · g · h,True,,U = g² / h,False,PH113,Gravitational PE = m·g·h relative to a chosen zero point.
If an object of mass m is dropped from height h— what is its speed just before impact (neglecting air resistance)?,B,v = m · g · h,False,PH113,v = √(2·g·h),True,,v = g / m,False,PH114,v = m / (g · h),False,PH113,PE lost = KE gained → mgh = ½·m·v² → solve for v
Which of the following defines potential energy conceptually?,D,Energy of motion,False,PH113,Energy conserved in collisions,False,PH115,Stored kinetic energy,False,PH113,Energy due to position or configuration,True,,PE is energy due to an object’s location in a field or system.
If an object is lifted to height 2h— how does its potential energy change?,A,It doubles.,True,,It quadruples.,False,PH114,It halves.,False,PH113,It stays the same.,False,PH114,U = m·g·h → double h = double U.
Two identical masses at different heights: h and 2h. Which has greater PE?,B,The one at h.,False,PH113,The one at 2h.,True,,They are equal.,False,PH113,It depends on kinetic energy.,False,PH115,PE increases linearly with height: U = m·g·h
What happens to mechanical energy in an ideal system (no friction)?,C,It disappears.,False,PH116,It becomes internal energy.,False,PH116,It is conserved.,True,,It is stored as mass.,False,PH113,Total ME = PE + KE remains constant in frictionless systems.
An object at rest slides down a frictionless ramp. What happens to its energy?,D,PE is lost and not recovered.,False,PH115,KE and PE both increase.,False,PH113,PE increases— KE decreases.,False,PH116,PE converts into KE— keeping total energy constant.,True,,PE transforms to KE while ME stays constant.
An object has PE = 200 J and KE = 300 J. What is its mechanical energy?,A,500 J,True,,100 J,False,PH116,600 J,False,PH113,Cannot be determined.,False,PH117,ME = PE + KE = 500 J.
Which expression gives height in terms of PE— m— and g?,B,h = PE · m · g,False,PH114,h = PE / (m · g),True,,h = m · g / PE,False,PH114,h = PE · g / m,False,PH114,From U = m·g·h → solve: h = U / (m·g)
Which statement about potential energy is FALSE?,D,It is relative to a chosen reference level.,False,,It can be converted into kinetic energy.,False,,It is stored energy.,False,,It is the same regardless of location.,True,PH118,PE depends on position and zero reference — not absolute.
An object falls from height h. What is its speed just before impact assuming conservation of energy?,C,v = m · g · h,False,PH120,v = 2gh,False,PH120,v = √(2 · g · h),True,,v = h / g,False,PH120,PE → KE → mgh = ½·m·v² → solve for v.
Which principle ensures PE lost equals KE gained (ignoring friction)?,D,Work-energy theorem.,False,PH124,Kinematic equations.,False,PH125,Force conservation.,False,PH124,Mechanical energy conservation.,True,,In a conservative system— E = KE + PE remains constant.
An object slides down a ramp losing 300 J of potential energy. How much kinetic energy does it gain?,B,100 J,False,PH121,300 J,True,,Depends on mass.,False,PH122,Zero.,False,PH121,Energy is conserved → loss in PE = gain in KE.
Why does mechanical energy decrease in real systems?,A,Some energy converts to non-mechanical forms like heat or sound.,True,,Because energy disappears.,False,PH121,Because force is not conserved.,False,PH120,Because potential energy is lost permanently.,False,PH122,Friction and other non-conservative forces transform mechanical energy.
A spring launches a block from rest. What principle relates U = ½kx² to final KE?,C,Momentum conservation.,False,PH124,Weight conservation.,False,PH124,Conservation of mechanical energy.,True,,Frictional loss.,False,PH121,Elastic PE becomes KE → total mechanical energy is conserved.
A block slides up a ramp and stops at height h. How does its speed at bottom relate to h?,D,v = h / g,False,PH120,v = g · h,False,PH120,v = h / v,False,PH120,v = √(2 · g · h),True,,KE = PE → ½·m·v² = m·g·h → v = √(2gh)
If total mechanical energy is constant— what can you conclude about external forces?,A,They do no net work.,True,,They increase internal energy.,False,PH122,They cancel each other.,False,PH121,They reverse direction.,False,PH120,Only conservative forces → ∆Eₘₑcₕ = 0 → external work = 0
A 2 kg object moves with v = 5 m/s. How high could it rise if all KE becomes PE?,C,h = v,False,PH120,h = m · g,False,PH120,h = 1.28 m,True,,h = √(2gh),False,PH125,KE = PE → ½·m·v² = m·g·h → h = v² / (2g)
Which equation reflects conservation of mechanical energy?,B,½mv² = mgh,False,PH120,½mv² + mgh = constant,True,,KE = PE,False,PH124,v = m · g,False,PH125,Total mechanical energy = sum of KE and PE remains constant.
A falling object encounters air resistance. What happens to mechanical energy?,D,It stays constant.,False,PH120,It increases.,False,PH121,It becomes kinetic only.,False,PH121,It decreases as some energy converts to heat.,True,,Air resistance is a non-conservative force — mechanical energy drops.
Which expression defines power in terms of work and time?,A,P = W / t,True,,P = W · t,False,PH129,P = t / W,False,PH129,P = W² / t,False,PH127,Power is rate of energy transfer: P = W / t.
A motor lifts a 50 kg mass to a height of 20 m in 5 s. What is its average power output?,C,500 W,False,PH127,1000 W,False,PH127,P = 1960 W,True,,P = m / t,False,PH127,Work = mgh = 9800 J → P = 9800 / 5 = 1960 W
An object moves at constant speed v under constant force F. What is power delivered?,D,P = F / v,False,PH127,P = v² · F,False,PH129,P = F / v²,False,PH127,P = F · v,True,,When direction aligns— P = F · v.
Which situation involves zero power output?,A,Holding a weight steady at arm’s length.,True,,Lifting a box upward at constant speed.,False,PH127,Pushing against a wall that moves.,False,PH129,Throwing an object upward.,False,PH129,If displacement = 0 → W = 0 → P = 0 even if force is applied.
If two machines do the same work but one is faster— what is true?,D,They use more energy.,False,PH129,The slower one is more powerful.,False,PH127,They exert the same force.,False,PH129,The faster machine has more power.,True,,P = W / t → same W— smaller t → greater P.
Power can also be expressed as which of the following?,C,P = KE / m,False,PH130,P = v / F,False,PH129,P = F · v when F and v are constant and aligned,True,,P = F · a,False,PH130,From W = F · d and v = d / t → P = F · v
A 75 kg person runs up 5 m of stairs in 3 seconds. Estimate power output.,A,P = mgh / t = 1225 W,True,,P = m / t,False,PH127,P = 75·3 / 5 = 45 W,False,PH129,P = 5 / (75·3) = 0.022 W,False,PH127,Use P = mgh / t → 75×9.8×5 / 3 ≈ 1225 W
What does it mean if a machine does more work per second?,D,It is inefficient.,False,PH128,It uses more mass.,False,PH130,It generates less force.,False,PH129,It is more powerful.,True,,Power is work per time — more work in same time = more power.
If mass and height stay constant but time doubles— what happens to power?,B,It doubles.,False,PH129,It halves.,True,,It stays the same.,False,PH129,It increases by factor of 4.,False,PH130,P = W / t = mgh / t → if t doubles— P halves.
Which statement best describes the concept of power?,C,It measures energy lost.,False,PH127,It equals total work done.,False,PH128,It is the rate at which work is done.,True,,It is proportional to mass only.,False,PH130,Power = work per unit time: P = W / t
