Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation,Choice E,Choice F
"An object starts at position x₀ and moves with constant velocity V₁ for time t₁, then accelerates at constant rate a for an additional time t₂. What is the object’s final position x₍f₎?",x₍f₎ = x₀ + V₁·(t₁ + t₂) + ½·a·t₁²,x₍f₎ = x₀ + V₁·t₁ + ½·a·t₂²,x₍f₎ = x₀ + V₁·t₁ + V₁·t₂ + ½·a·t₂²,x₍f₎ = x₀ + ½·V₁·(t₁ + t₂)² + a·t₂²,C,Phase 1: V₁·t₁. Phase 2: V₁·t₂ + ½·a·t₂². Total: x₀ + V₁·t₁ + V₁·t₂ + ½·a·t₂²,,
A projectile is launched from ground level at speed V₀ at angle θ and lands at the same height. What is the horizontal distance x₍f₎ − x₀ it travels?,x₍f₎ − x₀ = V₀²·sin²θ ⁄ g,x₍f₎ − x₀ = V₀²·cosθ ⁄ g,x₍f₎ − x₀ = V₀²·sin(2θ) ⁄ g,x₍f₎ − x₀ = V₀·cosθ·(V₀·sinθ ⁄ g),C,Time = 2·V₀·sinθ ⁄ g → x = V₀·cosθ·t = V₀²·sin(2θ) ⁄ g,,
Runner A moves at speed Vₐ. Runner B starts d meters behind at speed Vᵦ > Vₐ. How long until B catches A?,t = d ⁄ (Vₐ + Vᵦ),t = d ⁄ (Vᵦ − Vₐ),t = d ⁄ Vᵦ,t = d ⁄ Vₐ,B,Relative speed = Vᵦ − Vₐ. Time = d ⁄ (Vᵦ − Vₐ).,,
An object’s velocity-time graph is triangular from 0 to V₍max₎ over time t. What is the displacement Δx?,Δx = V₍max₎·t,Δx = ½·V₍max₎·t,Δx = V₍max₎·t²,Δx = ½·V₍max₎²·t,B,Area under v–t graph = displacement. Triangle: ½·base·height = ½·t·V₍max₎,,
"An object moves right at speed V₀ for time t₁, then left at same speed for time t₂. What is its total displacement?",Δx = V₀·(t₁ − t₂),Δx = V₀·(t₁ + t₂),Δx = V₀·t₂ − V₀·t₁,Δx = 0,A,Δx = V₀·t₁ − V₀·t₂ = V₀·(t₁ − t₂),,
An object’s position is x(t) = x₀ + V₀·t + ½·a·t². What is its velocity at time t?,V = x(t) ⁄ t,V = V₀ + ½·a·t²,V = V₀ + a·t,V = a·t,C,Take derivative of x(t): V = dx/dt = V₀ + a·t,,
A projectile is launched with speed V₀ at angle θ. What is the time t₍peak₎ to reach max height?,t₍peak₎ = V₀·cosθ ⁄ g,t₍peak₎ = V₀·sinθ ⁄ g,t₍peak₎ = V₀⁄g,t₍peak₎ = V₀·tanθ ⁄ g,B,"At peak, Vᵧ = 0: V₀·sinθ − g·t = 0 → t = V₀·sinθ ⁄ g",,
A train moves east at speed V₍train₎. A person walks west at V₍walk₎ relative to the train. What is their speed relative to ground?,V₍ground₎ = V₍train₎ + V₍walk₎,V₍ground₎ = V₍train₎ − V₍walk₎,V₍ground₎ = V₍walk₎ − V₍train₎,V₍ground₎ = −V₍train₎ − V₍walk₎,B,Relative motion: V₍ground₎ = V₍train₎ − V₍walk₎,,
An object’s position-time curve is x(t) = x₀ + V₀·t + ½·a·t². What does the slope of the tangent represent?,Height of the curve,Area under the curve,Slope of tangent = velocity,Second derivative of position,C,Slope of x–t graph = dx/dt = velocity,,
An object moves x meters east and y meters north. What is the angle θ of its displacement vector from the x-axis?,θ = tan⁻¹(y ⁄ x),θ = sin⁻¹(y ⁄ x),θ = cos⁻¹(x ⁄ y),θ = √(x² + y²),A,Direction angle: θ = tan⁻¹(opposite ⁄ adjacent) = tan⁻¹(y ⁄ x),,
A student is provided with a battery-powered toy car that the manufacturer claims will always operate at a constant speed. The student must design an experiment in order to test the validity of the claim. Which of the following measuring tools can the student use to test the validity of the claim? Select two answers.,"Photogates placed at the beginning, end, and at various locations along the track that the car travels on",A meterstick to measure the distance of the track that the car travels on,A motion detector that is oriented perpendicular to the direction that the car travels,A mass balance to determine the mass of the car,"A, C","Photogates and motion detectors allow direct measurement of time and position over intervals, which can be used to calculate and compare velocities. Mass and distance alone cannot determine if speed is constant.",,
"Car A has a speed of 3.0 m/s and starts at the origin. Car B has a speed of 2.0 m/s, is moving towards the origin and has an initial position of 15.0 meters. How much time will it take for them to meet?",2.0 s,3.0 s,5.0 s,7.5 s,C,Let car A's position be xₐ = 3.0·t and car B's position be xᵦ = 15.0 − 2.0·t. Set xₐ = xᵦ ⇒ 3.0·t = 15.0 − 2.0·t ⇒ 5.0·t = 15.0 ⇒ t = 3.0 s.,,
What’s the sign of your acceleration if you are going in reverse and slam on the brakes?,Positive,Negative,Zero,It depends on speed,A,"If you are moving in the negative direction (reverse) but slowing down, your acceleration is positive — it’s in the direction opposite your velocity.",,
"Two objects, X and Y, accelerate from rest with the same constant acceleration. Object X accelerates for twice the time as object Y. Which of the following is true of these objects at the end of their respective periods of acceleration?",Object x is moving at the same speed as object y,Object x is moving twice as fast as object y,Object x has traveled the same distance as object y,Object x has traveled twice as far as object y,B,"Use v = a·t and x = ½·a·t². Since tₓ = 2·tᵧ, then vₓ = 2·vᵧ and xₓ = 4·xᵧ. So object X is moving twice as fast as Y and has traveled four times as far, not two times as far.",,
"At time t = 0 s, an object is moving to the right with a velocity given by v = (4.2 m/s) − (1.4 m/s²)·t. At what time, if any, does the object change its direction of motion?",0.33 s,3.0 s,5.6 s,"At no time, the object never changes direction",B,"Set v = 0 to find when it changes direction: 0 = 4.2 − 1.4·t ⇒ t = 3.0 s. At this time the velocity is zero, and after this, it becomes negative, meaning the object reverses direction.",,
A car goes from rest to 30 m/s in 12 s with constant acceleration. How long does it take the car to go from rest to 15 m/s with the same acceleration?,3.0 s,6.0 s,12√2 s,24 s,B,"Since acceleration is constant, use the ratio v = a·t. If 30 m/s takes 12 s, then 15 m/s takes half that: (15/30)·12 = 6 s.",,
An object is released from rest and falls a distance h during the first second of time. How far will it fall during the second second of time?,h,2h,3h,4h,C,"First second: Δx₁ = ½·g·(1²) = h. Second second: total distance in 2 s is ½·g·(2²) = 4h, so distance during the second second = 4h − h = 3h.",,
Two identical bowling balls A and B are each dropped from rest from the top of a tall tower. Ball A is dropped 1.0 s before ball B and both balls fall for a while before hitting the ground. Which of the following is true?,The distance between the two balls decreases,The velocity of ball A increases with respect to ball B,The velocity of ball A decreases with respect to ball B,The distance between the two balls increases,D,"Since both balls fall with the same constant acceleration, ball A will always be falling faster and farther than ball B. Their velocity difference stays constant, but their position gap increases with time.",,
"While on a Scout hike, Jeremy walked 15.0 km north, 5.0 km east, 18.0 km north, and 32.0 km west. The resultant magnitude of displacement for Jeremy's hike is:",30.0 km,36.0 km,42.6 km,45.0 km,C,Total northward: 15.0 + 18.0 = 33.0 km. Net horizontal: 5.0 km east − 32.0 km west = 27.0 km west. Displacement = √(33² + 27²) = √1818 ≈ 42.6 km.,,
"Balls 1 and 2 are each thrown horizontally from the same height above level ground, but ball 2 has a greater initial velocity. If air resistance is negligible, how do the accelerations of the balls and the times it takes them to hit the ground compare?",Acceleration: Equal; Time: Equal,Acceleration: Greater for ball 2; Time: Equal,Acceleration: Equal; Time: Greater for ball 2,Acceleration: Equal; Time: Less for ball 2,A,"In projectile motion without air resistance, horizontal velocity doesn't affect vertical motion. Both balls fall with the same vertical acceleration (g) and take the same time to hit the ground.",,
"A spring-loaded gun is aimed horizontally and is used to launch identical balls with different initial speeds. If the speed of the second projectile is twice the speed of the first projectile fired, how is the horizontal range affected?",The range for both projectiles will be the same,The range of the second projectile will be half as much as the first,The range of the second projectile will be twice as large as the first,The range of the second projectile will be four times as large as the first,C,"Time in air depends only on vertical motion and height, which is the same for both. Range = vₓ·t, so doubling horizontal speed doubles the horizontal distance.",,
A rock of mass m is thrown horizontally from a height h with speed v₀. What happens to the horizontal distance if the height is quadrupled?,It stays the same,It doubles,It triples,It quadruples,B,"The time in the air becomes √4 = 2 times longer. Since horizontal speed v₀ is unchanged, distance = v₀·t also doubles.",,
A classroom spring is launched at 7.5 m/s at an angle of 40°. How high up is it when it hits a wall that is 2.0 meters horizontally from the launch site?,0.85 m,1.08 m,1.30 m,1.65 m,B,"Use components: vₓ ≈ 5.74, vᵧ ≈ 4.82. Time to reach 2.0 m: t = 2.0/5.74 ≈ 0.349 s. Then y = 4.82·0.349 − 0.5·9.8·(0.349)² ≈ 1.08 m.",,
"A ball is thrown with an initial speed of 20 m/s at an angle of 60° to the ground. If air resistance is negligible, what is the ball’s speed at the instant it reaches its maximum height?",0 m/s,10 m/s,14 m/s,20 m/s,B,"At maximum height, vertical velocity is 0. Only the horizontal velocity remains: vₓ = 20·cos(60°) = 10 m/s.",,
"A body moves at 24 m/s for 1 s, then accelerates at –6 m/s² for 10 s. What is its total displacement at t = 11 s?",+99 m,+36 m,–36 m,–99 m,C,First second: x₁ = 24·1 = 24 m. Next 10 s: x₂ = 24·10 + ½·(–6)·10² = 240 – 300 = –60 m. Total: 24 – 60 = –36 m.,,
An arrow hits 0.050 m below target center at 20 m away. What was its initial horizontal speed? (Neglect air resistance.),20 m/s,40 m/s,100 m/s,200 m/s,D,Time to fall: t = √(2·0.050/9.8) ≈ 0.101 s. Then v₀ = 20 / 0.101 ≈ 198 m/s → closest: 200 m/s.,,
A rocket accelerates upward at 10 m/s² and releases a package. What is the acceleration of the package immediately after release?,20 m/s² up,10 m/s² up,0,10 m/s² down,D,"Once released, the only force on the package is gravity. It enters free fall and accelerates at 10 m/s² downward.",,
"In the absence of air resistance, how does an object fall near the surface of the Moon?",Its acceleration decreases until terminal velocity.,The acceleration is constant.,It falls with constant speed.,The acceleration is zero.,B,"With no air on the Moon, there’s no terminal velocity. Objects fall with constant acceleration due to gravity.",,
"An object is thrown upward at 30 m/s. After 2 seconds, what are the directions of displacement, velocity, and acceleration?","up, up, up","up, up, down","up, down, down","up, down, up",B,"It’s still moving up at 2 seconds, so velocity and displacement are both up. Acceleration is always down (gravity).",,
"A snail starts at x₀ = –5 m, moves away from the origin, and slows down. What are the signs of x₀, v₀, and a?","–, +, +","–, –, +","–, –, –","–, +, –",B,x₀ is negative. Moving away means v₀ is negative. Slowing down → a is opposite sign of v₀ → a is positive.,,
"A train moves at 10 m/s and accelerates at 2 m/s². A student throws a ball left at 4 m/s (relative to train). After 0.5 s, what is the ball’s horizontal speed relative to the ground?",7 m/s,6 m/s,5 m/s,3 m/s,A,"Initial: ball = 6 m/s. Train speeds up by 1 m/s → now 11 m/s. Ball is still moving 4 m/s left relative to train, so relative to ground: 11 – 4 = 7 m/s.",,
A plane flies at speed vₚ₋g and ejects exhaust backward at speed vₑ₋ₚ relative to the plane. What is the exhaust velocity relative to the ground?,√[(vₚ₋g)² + (vₑ₋ₚ)²],–vₑ₋ₚ,vₚ₋g + vₑ₋ₚ,vₚ₋g – vₑ₋ₚ,D,Use relative velocity: vₑ₋g = vₚ₋g + (–vₑ₋ₚ) = vₚ₋g – vₑ₋ₚ. This gives the exhaust velocity in the ground frame.,,
"Water in a river flows uniformly to the east with a speed of 5 m/s relative to the shore. A boat is traveling to the west at 10 m/s relative to the water. A passenger on the boat is walking at 5 m/s to the east, toward the back of the boat. Which of the following statements about the passenger’s velocity is correct and gives the correct reason?",The passenger is moving at 20 m/s relative to the shore because the boat is moving at 5 m/s relative to the shore and the passenger is moving at 15 m/s relative to the water.,"The passenger is moving at 20 m/s relative to the shore because the sum of all of the velocities (10 m/s, 5 m/s, and 5 m/s) is 20 m/s.",The passenger is stationary relative to the shore because the boat is moving at 5 m/s relative to the shore and the passenger is moving at 5 m/s relative to the boat in the opposite direction.,The passenger is stationary relative to the shore because the boat is moving at 15 m/s relative to the water and the passenger is moving at 15 m/s in the opposite direction relative to the water.,C,"The boat’s velocity relative to the shore is v = −10 m/s + 5 m/s = −5 m/s. The passenger is walking at +5 m/s relative to the boat, so relative to the shore: v = −5 m/s + 5 m/s = 0. The passenger is stationary relative to the shore.",,
"A cart is moving along a straight track and has velocity +0.5 m/s and positive acceleration at time 1 s. At time 3 s, the cart reaches a maximum speed. At time 4 s, the cart again has velocity +0.5 m/s, but with negative acceleration. A student claims that the average acceleration of the cart between time 1 s and 4 s time is zero. Is the student’s claim correct? Why or why not?","Yes, because the final velocity of the cart is equal to the initial velocity.","Yes, because the cart returns to its original position.","No, because the values of the acceleration at time 1 s and time 4 s are unknown.","No, because the cart spends more time with a positive acceleration than with a negative acceleration.",A,"Average acceleration is defined as a = Δv⁄Δt. Since the velocity at 1 s and 4 s is the same (+0.5 m/s), Δv = 0, so the average acceleration is zero regardless of acceleration at intermediate times.",,
A ball is launched from the ground with an initial velocity of 8.0 m/s at an angle of 60° above the horizontal. What is the approximate maximum height above the ground reached by the ball?,0.69 m,0.80 m,2.4 m,3.2 m,C,"Use vertical motion: vᵧ₀ = 8.0·sin(60°) ≈ 6.93 m/s. At max height, vᵧ = 0. Use vᵧ² = vᵧ₀² − 2·g·h → 0 = (6.93)² − 2·9.8·h → h ≈ 2.45 m ≈ 2.4 m.",,
A block is projected up a frictionless plane with an initial speed v₀. The plane is inclined 30° above the horizontal. What is the approximate acceleration of the block at the instant that it reaches its highest point on the inclined plane?,Zero,5 m⁄s² down the incline,10 m⁄s² down the incline,10 m⁄s² up the incline,B,"Acceleration on a frictionless incline is a = g·sin(θ). With θ = 30°, a = 9.8·sin(30°) ≈ 4.9 ≈ 5 m⁄s² down the incline, regardless of the velocity at that instant.",,
A 1.5 kg cart starts from rest and then accelerates at a constant rate of 2 m⁄s² to the right for 5 s. The displacement of the cart over this time interval is most nearly,3 m,10 m,15 m,25 m,D,"Use kinematic equation: x = x₀ + v₀·t + ½·a·t². Since it starts from rest, v₀ = 0. So, x = ½·2·(5)² = 25 m.",,
"A distant planet has an acceleration due to gravity of 4 m⁄s² near its surface. An object is released from rest from the top of a tall cliff on the planet, and the object lands at the bottom of the cliff in 20 seconds. A second object is then thrown upward from the edge of the same cliff with a speed of 4 m⁄s. The time it takes the second object to reach the bottom of the cliff is most nearly",19 s,21 s,22 s,80 s,B,"The second object first rises for t = v⁄g = 4⁄4 = 1 s, then falls from the original height. Falling time is 20 s (same as first object). Total time is 1 s up + 20 s down = 21 s.",,
"A small cart is rolling freely on an inclined ramp with a constant acceleration of 0.50 m⁄s² in the −x direction. At time t = 0, the cart has a velocity of 2.0 m/s in the +x direction. If the cart never leaves the ramp, which of the following statements correctly describes the motion of the cart at a time t > 5 s?",The cart is traveling in the +x direction and is slowing down.,The cart is traveling in the +x direction and is speeding up.,The cart is traveling in the −x direction and is slowing down.,The cart is traveling in the −x direction and is speeding up.,D,"The cart starts in the +x direction but is decelerated by −0.5 m⁄s². After 4 s, its velocity becomes zero, and it begins moving in the −x direction. At t > 5 s, it is moving in −x and accelerating in −x, so it is speeding up.",,
An object starts from rest and slides with negligible friction down an air track tipped at an angle θ from the horizontal. A student records values of the object’s position along the track at various times. The value of θ can best be determined from which of the following?,The y-intercept of a graph of position as a function of time,The y-intercept of a graph of position as a function of the square of time,The slope of a graph of position as a function of time,The slope of a graph of position as a function of the square of time,D,"From kinematics: x = ½·a·t². Plotting x vs t² gives a straight line, slope = ½·a. Since a = g·sin(θ), the slope relates directly to θ, so θ is found from the slope of position vs time².",,
Two students want to determine the speed at which a ball is released when thrown vertically upward into the air. One student throws the ball into the air while the other student measures the total time that the ball is in the air. The students use a meterstick to measure the release height of the ball. Which of the following equations should the students use to determine the speed at which the ball was released?,Use y = y₀ + vᵧ₀·t + ½·aᵧ·t² from the moment in time in which the ball was released to the moment in time in which the ball reaches its highest point.,Use y = y₀ + vᵧ₀·t + ½·aᵧ·t² from the moment in time in which the ball was released to the moment in time in which the ball hits the ground.,vᵧ² = vᵧ₀² + 2·aᵧ·(y − y₀) from the moment in time in which the ball was released to the moment in time in which the ball reaches its highest point.,vᵧ² = vᵧ₀² + 2·aᵧ·(y − y₀) from the moment in time in which the ball was released to the moment in time in which the ball hits the ground.,B,They know the total time in the air and initial position y₀. The correct equation is y = y₀ + vᵧ₀·t + ½·aᵧ·t². Use full time to when the ball hits the ground and solve for vᵧ₀.,,
"A student throws a rock horizontally from the edge of a cliff that is 20 m high. The rock has an initial speed of 10 m/s. If air resistance is negligible, the distance from the base of the cliff to where the rock hits the level ground below the cliff is most nearly",5 m,10 m,20 m,40 m,C,"Vertical motion: y = ½·g·t² → 20 = ½·9.8·t² → t ≈ 2.02 s. Horizontal motion: x = v·t = 10·2.02 ≈ 20.2 m, so the distance is about 20 m.",,
A car is moving with constant speed v₀ when a tree falls into the roadway at t = 0. It takes the driver a time T to react and apply the brakes. The car then slows with a constant acceleration of magnitude a. Which of the following equations correctly expresses the distance D traveled by the car from time t = 0 to the instant the car comes to rest?,D = v₀·T + ½·a·T²,D = ½·a·T² + v₀²⁄2a,D = v₀·T + v₀²⁄2a,D = v₀·T + ½·a·T² + v₀²⁄2a,C,"First, the car travels v₀·T while reacting. Then it decelerates to rest over a distance given by v² = v₀² + 2·a·Δx → Δx = v₀²⁄2a. Total distance is D = v₀·T + v₀²⁄2a.",,
A car on a straight track is at position xᵢ and has initial speed vᵢ when it begins to slow down with constant acceleration of magnitude a. When the car reaches position x𝒻 it has speed v𝒻. Which of the following is a correct expression for x𝒻?,(v𝒻² − vᵢ²)⁄2a + xᵢ,(vᵢ² − v𝒻²)⁄2a + xᵢ,(v𝒻² − vᵢ²)⁄2a − xᵢ,(vᵢ² − v𝒻²)⁄2a − xᵢ,B,Use the equation v𝒻² = vᵢ² + 2a·(x𝒻 − xᵢ). Solve for x𝒻: x𝒻 = xᵢ + (vᵢ² − v𝒻²)⁄(2a).,,
A wooden block with a mass of 2 kg is moving with a speed of 12 m/s across a horizontal surface at time t = 0. The coefficient of kinetic friction between the block and the surface is μₖ = 0.35. What time does the block come to rest?,1.7 s,3.4 s,21 s,34 s,B,Friction provides the deceleration: a = −μₖ·g = −0.35·9.8 ≈ −3.43 m/s². Use v = v₀ + a·t: 0 = 12 − 3.43·t → t = 12⁄3.43 ≈ 3.5 s. Closest answer is 3.4 s.,,
"Two people are in a boat that is capable of a maximum speed of 5 km/hr in still water. The people wish to cross a river 1 km wide to a point directly across from their starting point. If the speed of the water in the river is 4 km/hr, what is the minimum time required for the crossing?",1⁄9 hr,1⁄5 hr,1⁄4 hr,1⁄3 hr,D,"To go directly across, the boat must aim upstream at an angle. The vertical component of speed is √(5² − 4²) = 3 km/hr. Time = distance⁄speed = 1⁄3 hr.",,
"Objects 1, 2, and 3 move with velocities v, −v⁄3, and −2v, respectively, in the horizontal direction. Which of the following correctly compares speeds S₁, S₂, and S₃ of objects 1, 2, and 3 respectively?",S₁ > S₂ > S₃,S₁ > S₃ > S₂,S₃ > S₂ > S₁,S₃ > S₁ > S₂,D,"Speed is the magnitude of velocity: S₁ = |v|, S₂ = |−v⁄3| = v⁄3, S₃ = |−2v| = 2v. So S₃ > S₁ > S₂.",,
A model rocket is launched vertically from the ground. The rocket is launched from rest and accelerates upward with acceleration a for a time t. The engine then shuts off and the rocket continues to move upward. Assume that the maximum height of the rocket is small compared to the radius of Earth. Which of the following is a correct expression that could be used to determine the maximum height above the ground reached by the rocket?,½·a·t²,(a²·t²)⁄(2g),½·a·t² + (a²·t²)⁄(2g),½·a·t² − (a²·t²)⁄(2g),C,First phase (powered): h₁ = ½·a·t². Velocity at engine cutoff: v = a·t. Second phase (free flight): h₂ = v²⁄(2g) = (a²·t²)⁄(2g). Total height: h = h₁ + h₂ = ½·a·t² + (a²·t²)⁄(2g).,,
"A kitten sits in a lightweight basket near the edge of a table. A person accidentally knocks the basket off the table. As the kitten and basket fall, the kitten rolls, turns, kicks, and catches the basket in its claws. The basket lands on the floor with the kitten safely inside. If air resistance is negligible, what is the acceleration of the kitten-basket system while the kitten and basket are in midair?",The acceleration is directed downward with magnitude less than g because the basket is light.,The acceleration is directed downward with magnitude equal to g because the system is a projectile.,"The acceleration fluctuates because of the rolling, turning, and kicking motion of the kitten.",The acceleration cannot be determined without knowing how hard the basket is pushed.,B,"Ignoring air resistance, once in free fall, all objects accelerate downward at g regardless of mass or internal motion. The system is a projectile with acceleration equal to g.",,
A person driving a car suddenly applies the brakes. The car takes 4 s to come to rest while traveling 20 m at constant acceleration. Can the speed of the car immediately before the brakes were applied be determined without first determining the car’s acceleration?,"Yes, by dividing the distance (20 m) by the time (4 s).","Yes, by determining the average speed while braking and doubling it.","No, because the acceleration is needed to use standard equations such as Δx = v₀·t + ½·a·t².","No, because the fundamental relationship that defines velocity contains acceleration.",B,"Since the car slows uniformly from v₀ to 0, the average speed is (v₀ + 0)⁄2 = v₀⁄2. So v₀ = 2·(Δx⁄t) = 2·(20⁄4) = 10 m/s. No need to compute a first.",,
A person of mass m is standing on a scale in an elevator that is accelerating downward with an acceleration of magnitude a. Which of the following is a correct expression for the normal force exerted on the person by the scale?,m·g,m·(g − a),m·(g + a),m·a,B,"Start with Newton’s second law: ∑F = m·a. Taking upward as positive, the forces are: N − m·g = −m·a, since the acceleration is downward. Solving: N = m·g − m·a = m·(g − a), which gives the normal force the scale reads.",,
"Elevator A is moving upward at a constant speed of 4 m/s and Elevator B is moving downward at a constant speed of 2 m/s. In each elevator, a 10 kg object is on a scale. The scale in Elevator A reads F₍A₎ and the scale in Elevator B reads F₍B₎. Which of the following correctly compares F₍A₎ and F₍B₎, and provides a valid justification?",F₍A₎ > F₍B₎ because Elevator A is moving up while Elevator B is moving down.,F₍A₎ > F₍B₎ because Elevator A has a greater speed than Elevator B.,F₍A₎ = F₍B₎ because two objects with the same mass always have the same apparent weight.,F₍A₎ = F₍B₎ because both elevators are traveling with a constant speed.,D,"Since both elevators move at constant speed, the net acceleration is zero. According to Newton’s second law, with no acceleration, the net force is zero, so the normal force (scale reading) equals m·g in both elevators. Therefore, F₍A₎ = F₍B₎.",,
An astronaut stands on the surface of an asteroid. The astronaut then jumps such that the astronaut is no longer in contact with the surface. The astronaut falls back down to the surface after a short time interval. Which of the following forces CANNOT be neglected when analyzing the motion of the astronaut?,The electromagnetic force between the subatomic particles of the astronaut and the subatomic particles of the asteroid,The strong nuclear force between the subatomic particles of the astronaut and the subatomic particles of the asteroid,The weak nuclear force between the subatomic particles of the astronaut and the subatomic particles of the asteroid,The gravitational force between the astronaut and the asteroid,D,The only non-negligible force affecting the astronaut's motion across space between the asteroid's surface and free-fall is gravity. All nuclear and electromagnetic forces between subatomic particles across large distances are negligible in this context.,,
"An astronaut in deep space is at rest relative to a nearby space station. The astronaut needs to return to the space station. A student makes the following claim: “The astronaut should position her feet pointing away from the space station. Then, she should repeatedly move her feet in the opposite direction to each other. This action will propel the astronaut toward the space station.” Is the student’s claim correct? Justify your selection.","Yes. The astronaut’s feet exert a force away from the space station, creating an equal and opposite force that will accelerate the astronaut toward the space station.","Yes. The astronaut’s feet will have a velocity that is transferred to her center of mass, accelerating the astronaut toward the space station.","No. The astronaut’s feet are not exerting a force on another object, so there is no external force to accelerate the astronaut toward the space station.","No. The astronaut would move away from the space station, not toward it, since her feet are pointed away from the space station.",C,"In space, internal movements like moving feet cannot create net acceleration without interaction with an external object. Newton’s third law requires a force on another object to produce propulsion; no external force means no change in motion.",,
