Code,Misconception,Explanation,Misconception Code,Topic Category,Misconception Description
PH27,Relative motion must involve physical contact,"Thinks relative motion can only exist if objects are touching or interacting, rather than recognizing it as a comparison of velocities.",,,
PH28,Zero velocity in one frame means zero in all,"Fails to see that an object can be stationary in one frame but moving in another, depending on the observer’s own motion.",,,
PH29,Vectors can't be broken into parts,"Assumes vectors are indivisible and cannot be analyzed through components, making it hard to connect motion in two dimensions to 1D kinematics.",,,
PH30,X and Y motion affect each other,"Believes that motion in the horizontal direction affects vertical motion (or vice versa), contradicting independence of perpendicular components.",,,
PH31,Projectile motion has horizontal acceleration,"Mistakenly assumes that projectiles accelerate horizontally as well as vertically, not recognizing that horizontal velocity remains constant without air resistance.",,,
PH32,Diagonal motion is a separate kind of motion,"Thinks diagonal motion follows its own rules, rather than being the result of simultaneous horizontal and vertical components.",,,
PH33,"Resultant vectors are chosen, not calculated","Assumes you pick the resultant rather than calculating it from component addition, often leading to directional or magnitude errors.",,,
PH34,Longer range means more time in air,"Believes that the farther something travels horizontally, the longer it must stay in the air, overlooking the role of vertical motion in determining time.",,,
PH35,Initial velocity equals final velocity in all directions,"Thinks the vertical component of velocity is the same at launch and landing for angled projectiles, not accounting for directional reversal in vertical motion.",,,
PH36,The system is just one object,Thinks a 'system' must be a single object rather than a group of interacting objects modeled together.,,,
PH37,System behavior is the same as any part,"Assumes every part of a system behaves identically to the whole, ignoring internal variation or interactions.",,,
PH38,Center of mass is always inside an object,Does not realize that the center of mass can lie outside the physical material of an object or system.,,,
PH39,All systems must have a visible center,Thinks systems without symmetry cannot have a center of mass or that it must be marked physically.,,,
PH40,Changing one object changes the system,Fails to recognize that only external forces or interactions can alter a system’s momentum or motion as a whole.,,,
PH41,System properties don’t depend on parts,"Ignores that the total mass, position, and behavior of a system are derived from its components.",,,
PH42,Internal forces can change system motion,"Believes that forces between parts of a system (e.g., pushing or pulling) can change its center-of-mass motion.",,,
PH43,Forces can act on an object without interaction,Does not understand that all forces arise from interactions between two objects or systems — no object can exert a net force on itself.,,,
PH44,"Forces come from motion, not interaction","Thinks moving objects generate force by moving, ignoring the requirement of an interaction with another object or system.",,,
PH45,Free-body diagrams include forces the object exerts,Incorrectly includes forces exerted *by* the object rather than only those exerted *on* the object in a free-body diagram.,,,
PH46,All forces are contact forces,"Overlooks non-contact forces like gravity, thinking only visible touching causes forces.",,,
PH47,Direction of force must match motion,"Thinks force always points in the same direction as the object’s velocity, ignoring that force can oppose or redirect motion.",,,
PH48,Center of mass has no role in diagrams,Does not understand that forces should be drawn from the object's center of mass in free-body diagrams.,,,
PH49,Force components must be shown on FBDs,"Draws components (e.g., Fᵧ, Fₓ) on free-body diagrams even though AP only requires full forces, not their trigonometric parts.",,,
PH50,Bigger objects exert bigger forces,"Thinks that in an interaction, the more massive object always exerts a larger force, misunderstanding Newton’s third law of equal and opposite forces.",,,
PH51,Action and reaction happen at different times,"Believes one object acts first and the other reacts later, failing to understand that action-reaction forces occur simultaneously.",,,
PH52,Action and reaction act on the same object,Incorrectly pairs forces that act on the same object instead of identifying forces acting between two different interacting objects.,,,
PH53,Only moving objects exert forces,"Assumes that only moving or accelerating objects can exert forces, ignoring that stationary objects can exert equal and opposite interaction forces.",,,
PH54,"If one object accelerates more, it feels more force","Fails to recognize that different accelerations result from different masses, not unequal forces, when Newton’s third law forces are equal in magnitude.",,,
PH55,Forces are not real if nothing moves,"Assumes that if an object doesn’t move, no force is present, ignoring equilibrium and the presence of balanced forces.",,,
PH56,Tension is always the same in all situations,"Does not recognize that tension may vary in different parts of a system unless the string is ideal (massless, no friction).",,,
PH57,Objects in equilibrium have no forces on them,"Believes that if an object isn’t accelerating, no forces are acting on it — missing that forces can be balanced (net force = 0).",,,
PH58,Motion requires a net force,"Assumes that constant motion must be caused by a continuing force, misunderstanding Newton’s first law.",,,
PH59,"If an object is moving, it must be accelerating","Equates motion with acceleration, failing to distinguish between constant velocity and changing velocity.",,,
PH60,Balanced forces cause objects to stop,"Thinks that if forces are balanced, objects must be at rest, rather than possibly moving at constant velocity.",,,
PH61,Inertia is a force,"Misinterprets inertia as a physical force that pushes back, rather than as a property of mass resisting acceleration.",,,
PH62,"Forces cancel if they act in opposite directions, even on different objects","Confuses Newton’s third law pairs with internal balancing, thinking forces on different objects can cancel each other.",,,
PH63,Objects naturally come to rest without a force,"Assumes stopping is natural unless something keeps pushing, missing the idea of inertia and neglecting friction.",,,
PH64,Net force must equal applied force,Fails to account for resistive forces like friction or tension that reduce the net force acting on an object.,,,
PH65,Acceleration and velocity must always be in the same direction,"Assumes acceleration can’t oppose motion, ignoring slowing down or changing direction cases.",,,
PH66,Bigger force means more speed,"Confuses force with velocity, expecting large forces to instantly result in high speeds regardless of time.",,,
PH67,Heavier objects accelerate faster when pushed,Does not apply Newton’s second law correctly; overlooks that increased mass requires more force to achieve the same acceleration.,,,
PH68,Objects only accelerate while the force is applied,"Thinks acceleration stops the moment force is removed, not realizing inertia maintains velocity but not acceleration.",,,
PH69,An object not moving has no forces,"Assumes stationary objects have no forces acting on them, overlooking static equilibrium and balanced forces.",,,
PH70,Constant net force means constant velocity,"Confuses constant force with constant motion, ignoring that constant force produces constant acceleration.",,,
PH78,Friction always opposes motion,"Assumes friction only resists movement rather than understanding that static friction can also enable motion (e.g., walking or rolling).",,,
PH79,Kinetic friction is stronger than static friction,Confuses the general rule; doesn't realize that static friction has a higher maximum value than kinetic friction.,,,
PH80,Friction depends on surface area,"Believes that a larger contact area increases friction, ignoring that friction depends on the normal force and material properties, not area.",,,
PH81,Normal force always equals weight,"Incorrectly assumes normal force must always balance weight, even on ramps or in elevators.",,,
PH82,Friction is constant regardless of force,Overlooks that static friction adjusts up to a maximum value based on applied force before motion starts.,,,
PH83,Friction is the same for all directions,"Fails to account for directional dependence and surface orientation (e.g., uphill vs. downhill frictional effects).",,,
PH84,Friction is a separate force from the surface,"Treats friction as external or independent from the interacting surfaces, rather than arising from microscopic interactions between them.",,,
PH85,Springs always exert upward force,"Assumes springs always push up, not recognizing they can pull or push depending on how they're stretched or compressed.",,,
PH86,Springs exert constant force,"Thinks spring force is constant regardless of stretch, ignoring that force depends on displacement from equilibrium (Hooke’s Law).",,,
PH87,Spring force depends on mass,Believes that heavier objects result in stronger springs regardless of how much the spring is stretched.,,,
PH88,The relaxed length is arbitrary,Does not understand that spring force depends on how far the spring is stretched from its natural (relaxed) length.,,,
PH89,Compressed springs store no energy,"Thinks springs must be stretched to do work or store energy, not realizing compression also stores potential energy.",,,
PH90,The spring force is always vertical,"Assumes spring force acts only up/down like gravity, ignoring that it acts along the axis of the spring.",,,
PH91,The direction of spring force is the same as motion,"Mistakes the direction of spring force as always aligned with motion, rather than toward the equilibrium position.",,,
PH92,Objects in circular motion have outward force,"Believes in a 'centrifugal force' pushing outward, rather than recognizing centripetal force as the inward force maintaining circular motion.",,,
PH93,Velocity and acceleration point in same direction,"Fails to recognize that in uniform circular motion, velocity is tangent to the path while acceleration is directed inward.",,,
PH94,Faster speed means greater outward force,"Thinks an outward force increases with speed, confusing reaction feeling (inertia) with actual inward centripetal force.",,,
PH95,Centripetal force is a new kind of force,"Treats centripetal force as a standalone force rather than the net inward force provided by gravity, tension, or friction.",,,
PH96,Acceleration means changing speed only,Does not understand that changing direction (even at constant speed) constitutes acceleration in circular motion.,,,
PH97,Object continues circular path if force is removed,"Thinks that removing centripetal force would keep the object moving in a circle, instead of moving in a straight tangent line.",,,
PH98,Tangential and centripetal acceleration are the same,"Confuses acceleration toward the center with changes in speed, not recognizing they are distinct components.",,,
PH99,Kinetic energy is a vector,"Mistakenly thinks kinetic energy has direction, not realizing it is a scalar quantity.",,,
PH100,Faster objects always have more kinetic energy,"Ignores mass in calculating kinetic energy, believing speed alone determines energy.",,,
PH101,All observers measure the same kinetic energy,"Does not understand that kinetic energy depends on the frame of reference, which affects the measured velocity.",,,
PH102,Kinetic energy depends on total distance traveled,Confuses displacement or distance with velocity in calculating kinetic energy.,,,
PH103,Kinetic energy can be negative,"Misapplies signed velocity into the formula KE = ½mv², which always yields a positive value.",,,
PH104,Only moving objects have energy,Overlooks potential energy and assumes stationary objects have no energy at all.,,,
PH105,An object gains kinetic energy just from force,"Thinks kinetic energy increases just because a force is present, ignoring the need for displacement and net work.",,,
PH106,Work is always positive,"Assumes any work done adds energy, not realizing work can also remove energy if force opposes motion.",,,
PH107,Work depends only on force,"Ignores displacement in calculating work, thinking applying force alone does work regardless of motion.",,,
PH108,No motion means no work is possible,"Fails to understand that work is zero if there’s no displacement, even if a large force is applied.",,,
PH109,All forces do work,Does not recognize that forces perpendicular to displacement (like centripetal force) do no work.,,,
PH110,Work and energy are separate concepts,"Treats work and energy as unrelated ideas, missing that work transfers energy.",,,
PH111,Path doesn’t matter for nonconservative forces,Misunderstands that forces like friction do more work over longer paths and are not path-independent.,,,
PH112,Work can be stored,"Confuses work (a process of energy transfer) with energy itself, which can be stored.",,,
PH113,Potential energy is stored force,"Confuses energy with force, incorrectly thinking that energy is a physical push or pull.",,,
PH114,Only stretched springs have potential energy,Fails to recognize that compressed springs also store elastic potential energy.,,,
PH115,Potential energy is always positive,"Does not understand that potential energy can be defined as zero at a chosen point, and values can be negative.",,,
PH116,Objects have gravitational energy only when falling,"Thinks gravitational potential energy only exists during motion, not based on relative position in a field.",,,
PH117,Zero potential energy means no energy at all,"Believes that a zero PE implies the object has no energy, ignoring kinetic energy or other forms.",,,
PH118,Potential energy is absolute,Misunderstands that the zero point for potential energy is arbitrary and can be chosen for convenience.,,,
PH119,Two objects must be touching to have potential energy,"Overlooks that potential energy can exist due to fields acting at a distance, such as gravity or electrostatics.",,,
PH120,Energy is always conserved within the system,"Assumes energy never leaves or enters a system, ignoring that nonconservative forces or external work can change system energy.",,,
PH121,Kinetic and potential energy are created or destroyed,Fails to understand that these forms of energy transform into each other or transfer in or out but are not lost or created from nothing.,,,
PH122,Only mechanical energy matters,"Overlooks thermal, sound, or other energy transformations that occur during real processes.",,,
PH123,Conservation of energy means forces are balanced,"Confuses the concepts of mechanical energy conservation and Newton’s laws, wrongly assuming zero net force is required for energy conservation.",,,
PH124,Energy is the same for all observers,Does not recognize that mechanical energy values (like kinetic energy) depend on the observer’s frame of reference.,,,
PH125,Energy is stored during motion,Misinterprets kinetic energy as something stored rather than something possessed due to motion.,,,
PH126,"If speed is constant, energy is constant","Fails to consider changing potential energy or external work, believing constant speed guarantees no energy change.",,,
PH127,Power and force are the same,"Thinks that applying a large force means high power, not realizing power depends on how quickly energy is transferred.",,,
PH128,Power increases with time,"Confuses energy and power, believing that the longer a force acts, the greater the power, ignoring the rate aspect of power.",,,
PH129,Power is the same as energy,"Misunderstands that power is the rate of energy transfer, not a form of energy itself.",,,
PH130,More power means more force,"Thinks high-power machines must apply more force, even if they do the same work faster.",,,
PH131,Units of power are the same as energy,"Does not recognize that power is measured in watts (J/s), not in joules (energy units).",,,
PH132,Power is only needed to start motion,"Assumes power is only involved in initiating movement, overlooking sustained energy transfer during motion.",,,
PH133,"If work is done, power is always high","Fails to consider time in power calculations, assuming any work must imply high power regardless of duration.",,,
PH134,Momentum and velocity are the same thing,"Mistakes momentum for velocity alone, ignoring the role of mass in momentum (p = mv).",,,
PH135,Only moving systems have momentum,"Thinks momentum is zero unless the entire system is moving, not realizing that internal components can contribute to net momentum.",,,
PH136,Momentum is not conserved if objects bounce,"Believes collisions that involve bouncing or separation cannot conserve momentum, missing that momentum conservation applies in all collisions if external forces are negligible.",,,
PH137,Momentum is a scalar,"Ignores the directional nature of momentum, leading to errors when components cancel or add in collisions.",,,
PH138,More mass always means more momentum,"Does not account for velocity in determining momentum, assuming mass alone determines it.",,,
PH139,Momentum is conserved for one object,"Confuses conservation of momentum for systems with individual object behavior, mistakenly applying conservation to isolated masses.",,,
PH140,Only collisions involve momentum,"Assumes momentum only applies during collisions or explosions, overlooking that it's relevant to any system in motion.",,,
PH141,Impulse is a force,"Confuses impulse with force itself, rather than understanding it as force applied over a time interval.",,,
PH142,Longer contact time always means greater force,"Fails to distinguish that impulse depends on the product of force and time, not time alone.",,,
PH143,Impulse only occurs during collisions,"Thinks impulse applies only in collision events, missing that it occurs whenever a net force acts over time.",,,
PH144,Impulse and momentum are unrelated,"Overlooks the impulse–momentum theorem, which directly connects impulse to change in momentum.",,,
PH145,Impulse depends on path or distance,"Mistakes impulse for work, believing that the path length affects impulse.",,,
PH146,Impulse can be measured from acceleration graphs,"Attempts to use a vs. t graphs instead of F vs. t graphs to calculate impulse, not recognizing proper graph-based representations.",,,
PH147,Direction of impulse is arbitrary,Does not recognize that impulse has direction and must align with the direction of net force.,,,
PH148,Momentum is only conserved when velocity is constant,"Mistakes momentum conservation for constant motion, not recognizing it depends on the absence of net external force.",,,
PH149,Momentum of the system equals the sum of speeds,"Adds scalar speeds rather than vector momenta, ignoring both mass and direction in system momentum calculations.",,,
PH150,Momentum is not conserved if objects move in different directions,Fails to account for vector nature of momentum and its conservation in multiple dimensions.,,,
PH151,Momentum is always zero before and after explosion,"Thinks internal explosions must cancel all motion, forgetting total momentum is conserved and may be nonzero.",,,
PH152,Momentum conservation requires equal mass,Mistakenly believes systems must contain equal-mass objects for momentum to be conserved.,,,
PH153,System momentum equals momentum of the largest object,"Assumes dominant objects determine total system momentum, ignoring contributions from all masses.",,,
PH154,Momentum conservation requires energy conservation,Fails to distinguish that momentum is conserved even in inelastic collisions where kinetic energy is lost.,,,
PH155,Elastic collisions mean objects don’t touch,"Assumes that elastic collisions happen without contact, not realizing that elastic refers to energy conservation, not physical separation.",,,
PH156,Kinetic energy is always conserved in a collision,"Fails to recognize that kinetic energy is only conserved in elastic collisions, not in inelastic or perfectly inelastic ones.",,,
PH157,"If objects stick together, momentum is not conserved","Believes that momentum conservation only applies when objects bounce apart, not understanding it also holds for perfectly inelastic collisions.",,,
PH158,Inelastic collisions break Newton’s third law,"Thinks that unequal outcomes in velocity imply unequal forces, ignoring that third law forces act equally during contact.",,,
PH159,Sticking together means total energy is lost,"Confuses energy transformation with energy loss, not realizing that energy becomes thermal or sound, but isn’t destroyed.",,,
PH160,Elastic means same final speeds as initial,"Assumes that in elastic collisions, each object keeps its speed, missing that direction and mass affect final velocities.",,,
PH161,Kinetic energy is always shared equally,"Thinks all objects in a collision must end with equal kinetic energy, ignoring differences in mass and speed.",,,
PH162,Angular displacement and linear displacement are unrelated,"Fails to see angular displacement as the rotational analog of linear displacement, and misses their connection through radius.",,,
PH163,Only rotating objects have angular position,"Assumes an object must be spinning to have angular displacement, ignoring that any rotation from a reference orientation counts.",,,
PH164,Angular velocity and acceleration don’t follow consistent sign rules,"Thinks the direction (sign) of angular motion is arbitrary, not realizing clockwise and counterclockwise are mathematically defined.",,,
PH165,Average angular values equal instantaneous values,"Assumes average angular velocity or acceleration always represent values at every point, ignoring variations over time.",,,
PH166,All points on a rotating object move the same way,"Fails to recognize that linear velocity depends on radial distance, even though angular velocity is the same.",,,
PH167,Angular kinematic equations apply to all motion,"Applies angular motion formulas in cases of non-constant angular acceleration, where they are not valid.",,,
PH168,Direction of rotation has no effect on math,"Ignores sign conventions for angular displacement, velocity, and acceleration, which are essential for vector consistency.",,,
PH169,Linear and rotational motion are unrelated,Fails to recognize that linear speed and distance can be derived from angular quantities using radius.,,,
PH170,All points on a rotating object move with the same speed,"Assumes equal speed across all points, ignoring that linear speed increases with distance from the axis of rotation.",,,
PH171,Tangential acceleration is the same as angular acceleration,Confuses the rate of change in angular velocity with the linear acceleration felt at a point on the object’s edge.,,,
PH172,Only the center of an object has angular velocity,"Thinks angular motion is localized, rather than applying to all parts of a rigid rotating system.",,,
PH173,Changing angular velocity doesn’t affect linear motion,Doesn’t connect the increase in angular speed to corresponding changes in linear motion at each radius.,,,
PH174,Tangential and radial directions are interchangeable,"Misuses directional terms, mixing up tangential velocity with radial acceleration or centripetal direction.",,,
PH175,Linear formulas apply directly to angular cases,Attempts to use linear motion equations without adjusting for angular quantities and their distinct units and relationships.,,,
PH176,Torque is the same as force,"Fails to distinguish between force and torque, ignoring the importance of lever arm and rotational axis.",,,
PH177,Torque doesn't depend on angle,"Assumes torque is always maximum regardless of angle between force and lever arm, neglecting the sine dependence.",,,
PH178,Only rotating objects experience torque,"Thinks torque only applies when an object is spinning, rather than recognizing it as a potential to cause rotation.",,,
PH179,All forces cause torque,Does not realize that only the component of a force perpendicular to the lever arm contributes to torque.,,,
PH180,Torque always causes rotation,"Thinks any torque will result in rotation, ignoring cases of torque balance or static equilibrium.",,,
PH181,Direction of torque doesn't matter,Ignores that clockwise and counterclockwise torques can cancel or reinforce each other.,,,
PH182,Torque can act at the center only,"Misunderstands torque as only being relevant at the object's center, instead of at any point offset from the rotation axis.",,,
PH183,Rotational inertia is the same for all objects of equal mass,"Fails to recognize that distribution of mass affects rotational inertia, not just the amount of mass.",,,
PH184,Mass far from the axis rotates more easily,"Believes objects with mass spread out rotate more easily, when in fact they have greater resistance to rotation.",,,
PH185,Rotational inertia doesn’t affect acceleration,Ignores that a higher rotational inertia leads to slower angular acceleration for the same torque.,,,
PH186,All points on a rotating object have the same rotational inertia,Does not realize that different mass elements contribute differently based on their distance from the axis.,,,
PH187,Rotational inertia only matters if the object is already rotating,"Thinks rotational inertia is irrelevant unless something is already in motion, not recognizing it affects how motion starts.",,,
PH188,Parallel axis theorem changes the mass of the object,"Misuses the parallel axis theorem, thinking it affects the object's mass instead of its effective moment of inertia.",,,
PH189,Rotational inertia has direction,"Confuses rotational inertia with torque or angular momentum, which are directional vectors, while inertia is a scalar quantity.",,,
PH190,Rotational equilibrium means no forces,"Mistakes zero net torque for absence of force, ignoring that forces can be present but balanced.",,,
PH191,"If torque is zero, angular velocity must be zero","Assumes torque is required for motion to continue, overlooking that constant angular velocity requires zero net torque, not zero motion.",,,
PH192,Balanced torques mean balanced forces,"Confuses torque balance with force balance, not recognizing that torque depends on both force and lever arm.",,,
PH193,Only spinning objects can be in rotational equilibrium,Fails to understand that rotational equilibrium also applies to objects at rest with no net torque.,,,
PH194,Direction of torque doesn’t matter for balance,Ignores that clockwise and counterclockwise torques must cancel for equilibrium.,,,
PH195,Equilibrium means symmetric force placement,"Assumes forces must be placed symmetrically for balance, rather than based on torque conditions.",,,
PH196,Angular and linear equilibrium always occur together,"Fails to distinguish that an object can be in rotational equilibrium but still accelerating linearly, and vice versa.",,,
PH197,Torque and angular acceleration are unrelated,"Fails to apply Newton’s second law for rotation (τ = I·α), ignoring the proportional relationship.",,,
PH198,More torque always means faster rotation,Does not consider the role of rotational inertia in determining angular acceleration from torque.,,,
PH199,Only moving objects can have torque,"Assumes that torque cannot exist if the object is not rotating, overlooking that torque causes, not requires, rotation.",,,
PH200,Inertia doesn’t matter for angular motion,Overlooks the influence of rotational inertia on how much angular acceleration results from a given torque.,,,
PH201,Angular acceleration must always match the direction of rotation,"Fails to recognize that angular acceleration can oppose motion, slowing an object down just like linear acceleration.",,,
PH202,Angular motion equations apply even with variable torque,Incorrectly applies constant-acceleration angular formulas to situations with non-uniform torque.,,,
PH203,Torque and force are interchangeable in calculations,Tries to substitute torque directly into linear formulas without adjusting for the rotational context or dimensions.,,,
PH204,Rotational kinetic energy is the same as translational kinetic energy,Assumes there's no distinction between energy due to linear motion and that due to rotational motion.,,,
PH205,Only rotating objects have kinetic energy,"Fails to recognize that even without linear motion, rotating systems have kinetic energy due to rotation.",,,
PH206,Rotational kinetic energy depends on linear velocity,Confuses translational velocity with angular velocity when calculating rotational kinetic energy.,,,
PH207,Rotational energy is directional like angular momentum,Mistakes scalar nature of energy for vector-like properties such as direction.,,,
PH208,Center of mass must move for energy to exist,Overlooks that internal rotation can contribute to kinetic energy even if center of mass is stationary.,,,
PH209,All rotating systems have the same energy if they spin at the same rate,Ignores role of moment of inertia; assumes spin rate alone determines energy.,,,
PH210,Rotational kinetic energy doesn't contribute to total energy,Neglects to include rotational terms when calculating total mechanical energy of a system.,,,
PH211,Work and torque are unrelated,"Fails to understand that work can be done by a torque, just as it can be done by a linear force over displacement.",,,
PH212,Rotational work depends only on torque,Ignores that both torque and angular displacement are required for calculating work done in rotational motion.,,,
PH213,Work in rotation is always positive,"Assumes torque always adds energy, not realizing torque in the opposite direction can remove energy.",,,
PH214,Work is the same regardless of the angle,"Does not consider that work varies with the angle of torque application, just as in linear work with force direction.",,,
PH215,Only complete rotations produce work,"Believes that torque must result in full revolutions to count as work, ignoring continuous accumulation of energy over small angular displacements.",,,
PH216,Rotational work is not energy,"Fails to recognize that work done by torque changes rotational kinetic energy, just as linear work affects translational energy.",,,
PH217,Area under a torque graph means nothing,"Overlooks that the area under a torque vs. angle graph equals work done, paralleling force vs. displacement graphs.",,,
PH218,Angular momentum is always conserved,Fails to consider the need for zero net external torque; assumes conservation without checking system conditions.,,,
PH219,Angular momentum depends only on spin,Ignores contributions from linear motion when calculating angular momentum about a point not on the object.,,,
PH220,Only rotating objects have angular momentum,Overlooks that any object with linear velocity and an offset from a reference point can have angular momentum.,,,
PH221,Angular impulse equals torque alone,"Doesn’t recognize angular impulse depends on torque and duration, not torque alone.",,,
PH222,Angular momentum is a scalar,Misunderstands that angular momentum has direction and follows vector rules like linear momentum.,,,
PH223,All angular momentum equations are interchangeable,Uses formulas for rotating rigid bodies in situations where linear/angular motion must be combined differently.,,,
PH224,More torque means more angular momentum instantly,"Fails to consider that angular momentum change depends on both torque and time (impulse), not instantaneous torque alone.",,,
PH225,Angular momentum is always constant,"Assumes angular momentum can’t change, ignoring the role of net external torque on a system.",,,
PH226,Angular momentum can’t exist without rotation,Fails to understand that linear motion can contribute to angular momentum when measured about a point not on the object's path.,,,
PH227,Objects must be connected to exchange angular momentum,"Believes interaction requires physical contact, not realizing torque can arise through forces at a distance.",,,
PH228,Angular momentum changes require changes in speed only,"Ignores that redistributing mass relative to axis (e.g., pulling in arms) can alter angular momentum or angular speed.",,,
PH229,External forces always change angular momentum,"Thinks any force changes angular momentum, not distinguishing between torque (causing rotation) and linear forces.",,,
PH230,Only rigid bodies conserve angular momentum,Doesn’t recognize that non-rigid systems can still obey conservation laws when no external torque acts.,,,
PH231,Moment of inertia is constant for all rotations,"Assumes moment of inertia doesn’t change with shape or mass distribution, even during deformation or reconfiguration.",,,
PH232,Rolling objects slide by default,"Assumes that rolling motion includes slipping unless friction is explicitly mentioned, ignoring 'rolling without slipping' conditions.",,,
PH233,Friction always slows down rolling,Fails to realize that static friction is necessary for rolling without slipping and may not reduce speed.,,,
PH234,Translational and rotational energy are the same,"Confuses or merges the two forms of kinetic energy in rolling systems, failing to distinguish between them.",,,
PH235,Friction dissipates energy in all rolling cases,"Believes any friction results in energy loss, not recognizing that static friction in ideal rolling does no work.",,,
PH236,Only rotation matters in rolling motion,"Ignores the translational motion of the center of mass in rolling systems, focusing only on the spin.",,,
PH237,No friction means rolling still occurs,"Assumes rolling without slipping is possible on frictionless surfaces, overlooking the role of static friction.",,,
PH238,Rolling speed is the same for all shapes,Thinks all objects roll down a ramp at the same rate regardless of mass distribution and moment of inertia.,,,
PH239,Satellites stay in orbit because there is no gravity,"Assumes gravity is absent in orbit, not realizing it is exactly gravity that provides the centripetal force to maintain the orbit.",,,
PH240,Orbits require constant engine thrust,"Thinks satellites must continuously fire engines to stay in orbit, rather than coasting under the influence of gravity alone.",,,
PH241,Satellites are weightless because gravity is zero,"Confuses 'apparent weightlessness' with lack of gravity, ignoring that satellites are in free fall.",,,
PH242,Circular orbits are the only kind of orbit,Fails to recognize that elliptical orbits are more common and governed by the same conservation principles.,,,
PH243,Higher orbits are always faster,Does not understand that orbital speed decreases with increasing altitude due to weaker gravitational pull.,,,
PH244,Gravitational potential energy is zero at Earth’s surface,"Ignores that potential energy is defined relative to infinity in orbital systems, not Earth’s surface.",,,
PH245,The satellite’s energy changes in circular orbit,"Thinks energy fluctuates during circular orbit, not realizing that both kinetic and potential energy remain constant unless acted upon.",,,
PH246,Simple harmonic motion must involve springs,"Assumes SHM only occurs with mass-spring systems, overlooking other cases like pendulums or oscillating carts.",,,
PH247,Amplitude affects period in all SHM,"Fails to realize that for ideal SHM (like mass-spring or small-angle pendulum), period is independent of amplitude.",,,
PH248,SHM requires a net constant force,"Misunderstands that SHM involves a restoring force proportional to displacement, not a constant net force.",,,
PH249,The object stops at equilibrium in SHM,"Thinks the motion ends when the object reaches equilibrium, not recognizing SHM continues through it.",,,
PH250,SHM acceleration is constant,"Confuses SHM with uniform acceleration, not realizing that acceleration in SHM varies with position.",,,
