Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
Which expression relates torque and angular momentum change?,A,τ = ∆L / ∆t,True,,τ = L · t,False,PH232,τ = m · r²,False,PH232,τ = I · ω,False,PH233,Rate of angular momentum change equals torque
If net torque on a system is zero— what happens to angular momentum?,C,It increases.,False,PH232,It reverses.,False,PH232,It remains constant.,True,,It becomes zero.,False,PH234,No net τ → L conserved
A torque of 10 N·m acts for 0.5 s. What is the angular impulse?,D,5 N,False,PH235,10 rad/s,False,PH235,0.5 N·m,False,PH235,5 N·m·s,True,,Impulse = τ·t
An object has L = 8 kg·m²/s and τ = 4 N·m. How long to stop it?,B,t = 2 s,True,,t = 4 s,False,PH234,t = 32 s,False,PH235,t = 0.5 s,False,PH234,τ = ∆L / ∆t → ∆t = ∆L / τ = 8 / 4 = 2 s
A disk (I = 2 kg·m²) is spinning at 4 rad/s. What torque is needed to stop it in 2 s?,C,2 N·m,False,PH234,1 N·m,False,PH235,4 N·m,True,,τ = I·ω,False,PH234,∆L = 8 → τ = ∆L / t
Which of the following best represents conservation of angular momentum?,D,τ = m · a,False,PH233,F = ∆p / ∆t,False,PH233,W = ∆KE,False,PH233,I₁·ω₁ = I₂·ω₂,True,,No external torque → L constant
A student says torque always changes angular speed. What's wrong?,A,Torque changes angular acceleration— not necessarily speed instantly.,True,,Torque = mass times velocity.,False,PH236,Angular speed is independent.,False,PH236,Torque and velocity are inverses.,False,PH236,Torque creates α → change in ω over time— not instant effect
What must increase for greater change in L given constant mass?,B,Inertia,False,PH237,Radius or velocity,True,,Angular impulse,False,PH238,External force,False,PH236,L = m·r·v → increase r or v
An object has constant angular momentum. What can be said of net torque?,C,It increases.,False,PH232,It reverses.,False,PH232,It is zero.,True,,It is negative.,False,PH234,∆L = 0 → τ = 0
If angular momentum changes quickly— what does this imply about torque?,D,Torque is zero.,False,PH232,Angular acceleration is zero.,False,PH233,Moment of inertia is constant.,False,PH237,Torque is large.,True,,∆L / ∆t = τ → fast change means big τ
What provides the force that keeps a satellite moving in a curved path around Earth?,C,The satellite’s engine thrust,False,PH240,The absence of gravity above Earth,False,PH239,Earth’s gravitational pull toward the center,True,,Air resistance balancing its motion,False,PH239,"Earth's gravitational pull supplies the centripetal force needed to maintain orbital motion, not the absence of gravity or engine thrust."
Why don't satellites need constant engine thrust to stay in orbit?,B,"Their engines operate at low, steady power to balance gravity.",False,PH240,They are moving forward and falling toward Earth simultaneously.,True,,They are beyond the reach of gravity.,False,PH239,Space has no forces acting on objects.,False,PH239,"Satellites stay in orbit because their forward motion combines with Earth's gravitational pull, not because of ongoing thrust."
Why do astronauts inside the ISS appear to float?,A,They are in continuous free fall toward Earth.,True,,There is no gravity acting at that altitude.,False,PH241,Air pressure inside the station cancels weight.,False,PH241,Their mass becomes zero in orbit.,False,PH241,Astronauts float because they are in free fall around Earth; gravity is still present and strong at orbital altitudes.
Are all satellite orbits perfectly circular?,D,"Yes, orbits must be exact circles for stability.",False,PH242,"No, they are random shapes depending on gravity.",False,PH242,Only large satellites have elliptical orbits.,False,PH242,"No, most orbits are slightly elliptical.",True,,Most orbits are elliptical rather than perfectly circular due to the nature of gravitational forces and satellite speeds.
How does a satellite's speed change with increasing altitude?,B,Speed increases at higher orbits.,False,PH243,Speed decreases because gravity weakens with distance.,True,,Speed stays exactly the same at all altitudes.,False,PH243,Speed depends only on the satellite's mass.,False,PH243,A satellite's orbital speed decreases with greater altitude as gravitational force becomes weaker farther from Earth.
Why do satellites remain in orbit around Earth?,A,Because gravity provides the necessary centripetal force.,True,,Because they are weightless and float.,False,PH241,Because their engines keep them moving.,False,PH239,Because there is no gravity in orbit.,False,PH242,"Gravity provides the centripetal force needed for orbit, not absence of gravity or engine thrust."
"In orbit, what keeps a satellite moving along its path without falling to Earth?",C,Lack of gravitational pull.,False,PH239,Zero forces acting on it.,False,PH241,Its inertia and Earth's gravity pulling inward.,True,,Continuous engine thrust.,False,PH243,"Inertia keeps the satellite moving forward while gravity pulls it inward, creating orbital motion."
Why do astronauts feel weightless while orbiting Earth?,C,Gravity is zero in orbit.,False,PH242,Their mass is reduced.,False,PH241,They are in continuous free fall around Earth.,True,,There is no atmospheric pressure.,False,PH240,"Astronauts feel weightless because they are in free fall around Earth, not because gravity is zero."
What kind of orbit do most satellites follow around Earth?,C,A straight line with course corrections.,False,PH241,A perfect circle always.,False,PH239,An elliptical path governed by gravity.,True,,A randomly changing path.,False,PH243,"Most orbits are elliptical due to variations in speed and distance, not perfect circles."
